sample,type,setting
Ara-3_10000gen_4538A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode12.fastq.gz
Ara-3_10000gen_ZDB429,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode13.fastq.gz
Ara-3_10000gen_ZDB429,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-01-31_MinION_FBA40620/fastq/FBA40620_barcode42.fastq.gz
Ara-3_10000gen_ZDB429,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode11.fastq.gz
Ara-3_20000gen_ZDB458,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode01_73f328a7_0d270851.fastq.gz
Ara-3_20000gen_ZDB464,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-05-15_MinION_FAX91866/fastq/FAX91866_barcode23.fastq.gz
Ara-3_20000gen_ZDB464,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-06-06_MinION_FAY95504/fastq/FAY95504_barcode11.fastq.gz
Ara-3_30000gen_ZDB16,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode14.fastq.gz
Ara-3_30000gen_ZDB16,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-01-31_MinION_FBA40620/fastq/FBA40620_barcode43.fastq.gz
Ara-3_30000gen_ZDB357,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode15.fastq.gz
Ara-3_30000gen_ZDB357,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-01-31_MinION_FBA40620/fastq/FBA40620_barcode44.fastq.gz
Ara-3_30000gen_ZDB357,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode12.fastq.gz
Ara-3_31500gen_ZDB25,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode04_73f328a7_0d270851.fastq.gz
Ara-3_31500gen_ZDB200,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-05-15_MinION_FAX91866/fastq/FAX91866_barcode22.fastq.gz
